date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point,warehouse_zone,damaged_units,reserved_units,inventory_snapshot_quality
2025-06-28,SKU0001,0,18,17,159,D,0,0,Good
2025-07-05,SKU0001,0,112,17,159,C,0,0,Good
2025-07-12,SKU0001,0,18,17,159,D,0,0,Good
2025-07-19,SKU0001,0,21,17,159,B,0,0,Good
2025-07-26,SKU0001,0,20,17,159,D,0,0,Good
2025-08-02,SKU0001,0,83,17,159,C,0,0,Good
2025-08-09,SKU0001,0,220,17,159,D,0,0,Manual Check
2025-08-16,SKU0001,0,207,17,159,B,0,0,Good
2025-08-23,SKU0001,0,124,17,159,C,0,0,Good
2025-08-30,SKU0001,0,18,17,159,D,0,0,Good
2025-09-06,SKU0001,0,139,17,159,C,0,0,Good
2025-09-13,SKU0001,0,161,17,159,A,0,0,Good
2025-09-20,SKU0001,0,17,17,159,C,0,0,Manual Check
2025-09-27,SKU0001,0,20,17,159,D,0,0,Good
2025-10-04,SKU0001,0,14,17,159,A,0,0,Good
2025-10-11,SKU0001,0,13,17,159,D,0,0,Good
2025-10-18,SKU0001,0,191,17,159,D,0,0,Good
2025-10-25,SKU0001,0,203,17,159,A,0,0,Good
2025-11-01,SKU0001,0,16,17,159,B,0,0,Good
2025-11-08,SKU0001,0,221,17,159,B,0,0,Good
2025-11-15,SKU0001,0,19,17,159,C,0,0,Good
2025-11-22,SKU0001,0,12,17,159,D,0,0,Manual Check
2025-11-29,SKU0001,0,12,17,159,B,0,0,Good
2025-12-06,SKU0001,0,174,17,159,D,0,0,Good
2025-12-13,SKU0001,0,179,17,159,C,0,0,Good
2025-12-20,SKU0001,0,15,17,159,D,0,0,Good
2025-12-27,SKU0001,0,12,17,159,D,0,0,Good
2024-06-01,SKU0002,50,4,10,25,D,0,2,Good
2024-06-08,SKU0002,41,9,10,25,B,0,1,Good
2024-06-15,SKU0002,31,7,10,25,C,0,2,Good
2024-06-22,SKU0002,15,2,10,25,B,0,1,Late Update
2024-06-29,SKU0002,9,3,10,25,C,0,0,Good
2024-07-06,SKU0002,9,32,10,25,C,0,1,Good
2024-07-13,SKU0002,6,76,10,25,D,0,0,Good
2024-07-20,SKU0002,0,68,10,25,A,0,0,Good
2024-07-27,SKU0002,0,62,10,25,C,0,1,Good
2024-08-03,SKU0002,0,4,10,25,C,0,0,Good
2024-08-10,SKU0002,2,74,10,25,C,0,0,Good
2024-08-17,SKU0002,2,2,10,25,D,0,0,Good
2024-08-24,SKU0002,4,6,10,25,A,0,0,Good
2024-08-31,SKU0002,7,67,10,25,C,0,1,Good
2024-09-07,SKU0002,6,28,10,25,B,0,1,Good
2024-09-14,SKU0002,6,6,10,25,D,0,1,Good
2024-09-21,SKU0002,12,65,10,25,D,0,0,Good
2024-09-28,SKU0002,12,5,10,25,C,0,0,Good
2024-10-05,SKU0002,4,60,10,25,B,0,0,Good
2024-10-12,SKU0002,0,72,10,25,C,0,0,Good
2024-10-19,SKU0002,0,7,10,25,D,0,0,Good
2024-10-26,SKU0002,0,6,10,25,B,0,1,Good
2024-11-02,SKU0002,0,10,10,25,C,0,0,Good
2024-11-09,SKU0002,0,72,10,25,A,0,0,Good
2024-11-16,SKU0002,0,4,10,25,D,0,0,Good
2024-11-23,SKU0002,0,13,10,25,D,0,0,Good
2024-11-30,SKU0002,0,3,10,25,A,0,0,Good
2024-12-07,SKU0002,1,58,10,25,A,0,0,Good
2024-12-14,SKU0002,0,5,10,25,A,0,0,Good
2024-12-21,SKU0002,0,7,10,25,D,0,0,Good
2024-12-28,SKU0002,0,71,10,25,C,0,0,Good
2025-01-04,SKU0002,0,67,10,25,A,0,0,Good
2025-01-11,SKU0002,5,9,10,25,B,0,0,Good
2025-01-18,SKU0002,8,72,10,25,B,0,0,Good
2025-01-25,SKU0002,10,77,10,25,B,0,1,Good
2025-02-01,SKU0002,15,46,10,25,B,0,1,Good
2025-02-08,SKU0002,20,68,10,25,B,1,0,Manual Check
2025-02-15,SKU0002,25,5,10,25,A,1,1,Good
2025-02-22,SKU0002,23,2,10,25,C,0,0,Manual Check
2025-03-01,SKU0002,25,3,10,25,C,0,2,Good
2025-03-08,SKU0002,28,9,10,25,C,1,0,Good
2025-03-15,SKU0002,32,6,10,25,D,0,2,Late Update
2025-03-22,SKU0002,33,8,10,25,B,1,1,Good
2025-03-29,SKU0002,31,7,10,25,B,0,2,Good
2025-04-05,SKU0002,34,5,10,25,B,0,0,Good
2025-04-12,SKU0002,27,5,10,25,A,1,1,Late Update
2025-04-19,SKU0002,33,5,10,25,A,0,1,Good
2025-04-26,SKU0002,39,4,10,25,B,0,3,Good
2025-05-03,SKU0002,37,9,10,25,C,0,1,Good
2025-05-10,SKU0002,38,7,10,25,B,0,1,Good
2025-05-17,SKU0002,36,12,10,25,D,0,3,Good
2025-05-24,SKU0002,38,13,10,25,C,2,1,Manual Check
2025-05-31,SKU0002,40,2,10,25,C,0,4,Manual Check
2025-06-07,SKU0002,26,5,10,25,A,0,0,Good
2025-06-14,SKU0002,24,76,10,25,D,0,0,Good
2025-06-21,SKU0002,6,6,10,25,A,0,0,Good
2025-06-28,SKU0002,0,47,10,25,A,0,0,Good
2025-07-05,SKU0002,0,33,10,25,B,0,0,Good
2025-07-12,SKU0002,0,7,10,25,D,0,0,Good
2025-07-19,SKU0002,0,54,10,25,C,0,0,Manual Check
2025-07-26,SKU0002,0,5,10,25,C,0,0,Late Update
2025-08-02,SKU0002,0,29,10,25,D,0,0,Manual Check
2025-08-09,SKU0002,0,2,10,25,D,0,0,Good
2025-08-16,SKU0002,0,67,10,25,A,0,0,Good
2025-08-23,SKU0002,9,2,10,25,C,0,0,Good
2025-08-30,SKU0002,7,31,10,25,A,0,0,Good
2025-09-06,SKU0002,2,40,10,25,A,0,0,Good
2025-09-13,SKU0002,4,30,10,25,D,0,0,Good
2025-09-20,SKU0002,11,53,10,25,C,0,0,Good
2025-09-27,SKU0002,11,36,10,25,C,0,0,Good
2025-10-04,SKU0002,8,44,10,25,A,0,1,Good
2025-10-11,SKU0002,0,6,10,25,A,0,0,Good
2025-10-18,SKU0002,0,10,10,25,C,0,0,Good
2025-10-25,SKU0002,0,5,10,25,D,0,0,Good
2025-11-01,SKU0002,0,6,10,25,D,0,0,Good
2025-11-08,SKU0002,0,40,10,25,A,0,0,Good
2025-11-15,SKU0002,0,4,10,25,D,0,0,Good
2025-11-22,SKU0002,0,6,10,25,B,0,0,Late Update
2025-11-29,SKU0002,0,75,10,25,D,0,0,Good
2025-12-06,SKU0002,0,33,10,25,A,0,0,Good
2025-12-13,SKU0002,0,6,10,25,C,0,0,Good
2025-12-20,SKU0002,0,3,10,25,D,0,0,Good
2025-12-27,SKU0002,4,10,10,25,A,0,0,Good
2024-06-01,SKU0003,502,24,23,273,B,3,24,Good
2024-06-08,SKU0003,462,27,23,273,C,2,20,Good
2024-06-15,SKU0003,437,23,23,273,C,3,22,Good
2024-06-22,SKU0003,389,27,23,273,D,1,26,Good
2024-06-29,SKU0003,349,17,23,273,B,3,16,Good
2024-07-06,SKU0003,309,27,23,273,B,3,18,Good
2024-07-13,SKU0003,260,25,23,273,D,2,12,Manual Check
2024-07-20,SKU0003,218,167,23,273,D,2,6,Good
2024-07-27,SKU0003,186,24,23,273,C,2,10,Good
2024-08-03,SKU0003,141,24,23,273,C,1,7,Good
2024-08-10,SKU0003,111,28,23,273,B,0,9,Good
2024-08-17,SKU0003,81,209,23,273,B,1,5,Good
2024-08-24,SKU0003,60,26,23,273,C,1,4,Good
2024-08-31,SKU0003,43,30,23,273,B,0,3,Good
2024-09-07,SKU0003,5,20,23,273,C,0,0,Manual Check
2024-09-14,SKU0003,0,24,23,273,B,0,0,Manual Check
2024-09-21,SKU0003,0,221,23,273,B,0,0,Late Update
2024-09-28,SKU0003,0,186,23,273,C,0,0,Good
2024-10-05,SKU0003,0,199,23,273,D,0,0,Good
2024-10-12,SKU0003,0,197,23,273,C,0,0,Manual Check
2024-10-19,SKU0003,0,16,23,273,D,0,0,Good
2024-10-26,SKU0003,0,32,23,273,A,0,0,Good
2024-11-02,SKU0003,0,20,23,273,D,0,0,Good
2024-11-09,SKU0003,0,27,23,273,D,0,0,Good
2024-11-16,SKU0003,0,23,23,273,C,0,0,Good
2024-11-23,SKU0003,0,25,23,273,B,0,0,Good
2024-11-30,SKU0003,0,267,23,273,D,0,0,Good
2024-12-07,SKU0003,0,268,23,273,B,0,0,Good
2024-12-14,SKU0003,0,337,23,273,D,0,0,Good
2024-12-21,SKU0003,0,20,23,273,C,0,0,Good
2024-12-28,SKU0003,0,26,23,273,C,0,0,Good
2025-01-04,SKU0003,0,159,23,273,A,0,0,Good
2025-01-11,SKU0003,0,31,23,273,D,0,0,Good
2025-01-18,SKU0003,0,127,23,273,A,0,0,Good
2025-01-25,SKU0003,8,123,23,273,A,0,2,Good
2025-02-01,SKU0003,0,29,23,273,B,0,0,Good
2025-02-08,SKU0003,0,247,23,273,A,0,0,Manual Check
2025-02-15,SKU0003,0,220,23,273,D,0,0,Manual Check
2025-02-22,SKU0003,0,24,23,273,D,0,0,Good
2025-03-01,SKU0003,0,26,23,273,D,0,0,Good
2025-03-08,SKU0003,9,21,23,273,B,0,1,Good
2025-03-15,SKU0003,0,257,23,273,B,0,0,Good
2025-03-22,SKU0003,0,260,23,273,B,0,0,Good
2025-03-29,SKU0003,4,320,23,273,D,0,0,Good
2025-04-05,SKU0003,0,332,23,273,B,0,0,Late Update
2025-04-12,SKU0003,0,161,23,273,B,0,0,Good
2025-04-19,SKU0003,0,25,23,273,B,0,0,Late Update
2025-04-26,SKU0003,0,32,23,273,B,0,0,Good
2025-05-03,SKU0003,0,24,23,273,A,0,0,Good
2025-05-10,SKU0003,0,19,23,273,A,0,0,Good
2025-05-17,SKU0003,0,25,23,273,D,0,0,Late Update
2025-05-24,SKU0003,0,34,23,273,A,0,0,Good
2025-05-31,SKU0003,0,31,23,273,A,0,0,Good
2025-06-07,SKU0003,0,133,23,273,D,0,0,Late Update
2025-06-14,SKU0003,0,117,23,273,A,0,0,Good
2025-06-21,SKU0003,0,253,23,273,D,0,0,Good
2025-06-28,SKU0003,0,34,23,273,B,0,0,Good
2025-07-05,SKU0003,0,30,23,273,B,0,0,Good
2025-07-12,SKU0003,0,280,23,273,C,0,0,Good
2025-07-19,SKU0003,0,31,23,273,C,0,0,Manual Check
2025-07-26,SKU0003,0,18,23,273,C,0,0,Good
2025-08-02,SKU0003,0,274,23,273,B,0,0,Good
2025-08-09,SKU0003,0,298,23,273,D,0,0,Good
2025-08-16,SKU0003,0,21,23,273,B,0,0,Good
2025-08-23,SKU0003,0,224,23,273,C,0,0,Good
2025-08-30,SKU0003,0,26,23,273,B,0,0,Good
2025-09-06,SKU0003,0,333,23,273,C,0,0,Good
2025-09-13,SKU0003,0,248,23,273,D,0,0,Good
2025-09-20,SKU0003,0,250,23,273,D,0,0,Good
2025-09-27,SKU0003,0,170,23,273,C,0,0,Good
2025-10-04,SKU0003,0,20,23,273,A,0,0,Good
2025-10-11,SKU0003,0,183,23,273,D,0,0,Manual Check
2025-10-18,SKU0003,0,13,23,273,C,0,0,Good
2025-10-25,SKU0003,0,203,23,273,C,0,0,Good
2025-11-01,SKU0003,0,23,23,273,A,0,0,Good
2025-11-08,SKU0003,0,340,23,273,B,0,0,Good
2025-11-15,SKU0003,0,19,23,273,B,0,0,Good
2025-11-22,SKU0003,0,170,23,273,A,0,0,Good
2025-11-29,SKU0003,0,339,23,273,D,0,0,Manual Check
2025-12-06,SKU0003,0,278,23,273,B,0,0,Good
2025-12-13,SKU0003,0,236,23,273,A,0,0,Manual Check
2025-12-20,SKU0003,0,161,23,273,B,0,0,Good
2025-12-27,SKU0003,0,27,23,273,C,0,0,Good
2024-06-01,SKU0004,54,5,20,36,B,1,2,Good
2024-06-08,SKU0004,52,5,20,36,C,0,3,Good
2024-06-15,SKU0004,45,2,20,36,A,0,2,Good
2024-06-22,SKU0004,41,6,20,36,B,2,1,Good
2024-06-29,SKU0004,39,5,20,36,B,0,3,Good
2024-07-06,SKU0004,35,9,20,36,D,0,3,Good
2024-07-13,SKU0004,37,3,20,36,C,0,1,Manual Check
2024-07-20,SKU0004,40,2,20,36,C,0,3,Good
2024-07-27,SKU0004,30,44,20,36,A,0,2,Good
2024-08-03,SKU0004,21,7,20,36,B,0,1,Good
2024-08-10,SKU0004,17,7,20,36,C,0,1,Good
2024-08-17,SKU0004,15,60,20,36,A,0,1,Manual Check
2024-08-24,SKU0004,16,30,20,36,D,1,0,Good
2024-08-31,SKU0004,21,53,20,36,D,0,2,Good
2024-09-07,SKU0004,18,25,20,36,D,0,0,Manual Check
2024-09-14,SKU0004,15,5,20,36,C,0,0,Good
2024-09-21,SKU0004,16,1,20,36,C,0,1,Good
2024-09-28,SKU0004,16,3,20,36,D,0,0,Good
2024-10-05,SKU0004,4,7,20,36,C,0,0,Late Update
2024-10-12,SKU0004,10,40,20,36,D,0,0,Good
2024-10-19,SKU0004,0,47,20,36,C,0,1,Good
2024-10-26,SKU0004,3,53,20,36,B,0,0,Good
2024-11-02,SKU0004,7,60,20,36,D,0,1,Good
2024-11-09,SKU0004,0,4,20,36,B,0,0,Good
2024-11-16,SKU0004,0,37,20,36,C,0,0,Good
2024-11-23,SKU0004,0,29,20,36,A,0,0,Good
2024-11-30,SKU0004,0,55,20,36,D,0,0,Good
2024-12-07,SKU0004,0,26,20,36,C,0,0,Good
2024-12-14,SKU0004,3,35,20,36,C,0,0,Good
2024-12-21,SKU0004,2,0,20,36,A,0,0,Good
2024-12-28,SKU0004,6,54,20,36,B,0,0,Good
2025-01-04,SKU0004,0,60,20,36,D,0,0,Good
2025-01-11,SKU0004,0,37,20,36,D,0,0,Good
2025-01-18,SKU0004,0,43,20,36,B,0,0,Good
2025-01-25,SKU0004,0,33,20,36,C,0,0,Good
2025-02-01,SKU0004,6,5,20,36,D,0,0,Good
2025-02-08,SKU0004,4,56,20,36,A,0,0,Good
2025-02-15,SKU0004,2,6,20,36,B,0,0,Good
2025-02-22,SKU0004,7,31,20,36,A,0,0,Good
2025-03-01,SKU0004,9,31,20,36,D,0,1,Good
2025-03-08,SKU0004,6,49,20,36,D,0,0,Good
2025-03-15,SKU0004,12,28,20,36,A,0,1,Good
2025-03-22,SKU0004,21,4,20,36,A,0,0,Good
2025-03-29,SKU0004,25,5,20,36,D,0,1,Good
2025-04-05,SKU0004,21,8,20,36,D,1,0,Manual Check
2025-04-12,SKU0004,18,42,20,36,A,0,1,Good
2025-04-19,SKU0004,17,20,20,36,A,0,1,Good
2025-04-26,SKU0004,20,33,20,36,D,0,0,Good
2025-05-03,SKU0004,23,53,20,36,A,0,0,Manual Check
2025-05-10,SKU0004,22,38,20,36,B,1,1,Good
2025-05-17,SKU0004,20,3,20,36,A,0,1,Late Update
2025-05-24,SKU0004,20,36,20,36,A,0,0,Good
2025-05-31,SKU0004,21,35,20,36,D,0,2,Good
2025-06-07,SKU0004,17,4,20,36,A,0,2,Good
2025-06-14,SKU0004,19,26,20,36,C,0,2,Good
2025-06-21,SKU0004,3,30,20,36,B,0,0,Good
2025-06-28,SKU0004,6,5,20,36,A,0,0,Good
2025-07-05,SKU0004,1,44,20,36,A,0,0,Good
2025-07-12,SKU0004,0,2,20,36,D,0,0,Good
2025-07-19,SKU0004,0,2,20,36,B,0,0,Good
2025-07-26,SKU0004,0,46,20,36,B,0,0,Good
2025-08-02,SKU0004,8,51,20,36,C,0,0,Good
2025-08-09,SKU0004,15,22,20,36,D,0,2,Good
2025-08-16,SKU0004,15,44,20,36,D,0,0,Good
2025-08-23,SKU0004,11,48,20,36,A,0,0,Manual Check
2025-08-30,SKU0004,11,31,20,36,C,0,0,Good
2025-09-06,SKU0004,7,7,20,36,B,0,0,Good
2025-09-13,SKU0004,5,8,20,36,A,0,0,Good
2025-09-20,SKU0004,0,1,20,36,C,0,0,Good
2025-09-27,SKU0004,5,6,20,36,B,0,2,Good
2025-10-04,SKU0004,0,50,20,36,D,0,0,Good
2025-10-11,SKU0004,0,50,20,36,C,0,0,Good
2025-10-18,SKU0004,0,47,20,36,B,0,0,Good
2025-10-25,SKU0004,0,4,20,36,B,0,0,Good
2025-11-01,SKU0004,0,1,20,36,A,0,0,Good
2025-11-08,SKU0004,7,2,20,36,D,0,0,Good
2025-11-15,SKU0004,1,21,20,36,C,0,0,Good
2025-11-22,SKU0004,0,39,20,36,D,0,0,Good
2025-11-29,SKU0004,0,2,20,36,D,0,0,Manual Check
2025-12-06,SKU0004,0,3,20,36,B,0,0,Good
2025-12-13,SKU0004,1,5,20,36,A,0,0,Good
2025-12-20,SKU0004,1,25,20,36,D,0,0,Good
2025-12-27,SKU0004,1,7,20,36,D,0,0,Good
2024-06-01,SKU0005,342,27,21,225,B,2,16,Late Update
2024-06-08,SKU0005,320,31,21,225,C,2,15,Good
2024-06-15,SKU0005,290,34,21,225,B,1,22,Good
2024-06-22,SKU0005,267,30,21,225,C,7,10,Good
2024-06-29,SKU0005,240,25,21,225,C,2,16,Good
2024-07-06,SKU0005,220,360,21,225,C,1,9,Good
2024-07-13,SKU0005,191,25,21,225,D,2,9,Good
2024-07-20,SKU0005,172,298,21,225,B,1,7,Manual Check
2024-07-27,SKU0005,143,359,21,225,B,5,11,Good
2024-08-03,SKU0005,84,374,21,225,B,1,4,Good
2024-08-10,SKU0005,60,366,21,225,A,1,3,Late Update
2024-08-17,SKU0005,50,38,21,225,D,0,4,Good
2024-08-24,SKU0005,10,177,21,225,A,0,1,Good
2024-08-31,SKU0005,0,344,21,225,B,0,0,Good
2024-09-07,SKU0005,0,22,21,225,C,0,0,Good
2024-09-14,SKU0005,0,158,21,225,D,0,0,Good
2024-09-21,SKU0005,0,224,21,225,D,0,0,Good
2024-09-28,SKU0005,0,183,21,225,A,0,0,Manual Check
2024-10-05,SKU0005,0,27,21,225,B,0,0,Manual Check
2024-10-12,SKU0005,0,24,21,225,D,0,0,Good
2024-10-19,SKU0005,0,373,21,225,D,0,0,Good
2024-10-26,SKU0005,0,344,21,225,D,0,0,Late Update
2024-11-02,SKU0005,0,351,21,225,D,0,1,Good
2024-11-09,SKU0005,0,275,21,225,C,0,0,Good
2024-11-16,SKU0005,0,17,21,225,B,0,0,Late Update
2024-11-23,SKU0005,0,269,21,225,D,0,0,Good
2024-11-30,SKU0005,0,242,21,225,C,0,0,Manual Check
2024-12-07,SKU0005,0,284,21,225,D,0,0,Good
2024-12-14,SKU0005,0,309,21,225,A,0,0,Good
2024-12-21,SKU0005,0,362,21,225,B,0,0,Good
2024-12-28,SKU0005,0,29,21,225,B,0,0,Good
2025-01-04,SKU0005,0,24,21,225,C,0,0,Good
2025-01-11,SKU0005,0,20,21,225,D,0,0,Good
2025-01-18,SKU0005,0,32,21,225,B,0,0,Good
2025-01-25,SKU0005,0,186,21,225,D,0,0,Late Update
2025-02-01,SKU0005,0,250,21,225,C,0,0,Good
2025-02-08,SKU0005,0,158,21,225,A,0,0,Good
2025-02-15,SKU0005,0,260,21,225,D,0,0,Good
2025-02-22,SKU0005,0,34,21,225,C,0,0,Good
2025-03-01,SKU0005,0,21,21,225,B,0,0,Good
2025-03-08,SKU0005,0,27,21,225,B,0,0,Good
2025-03-15,SKU0005,0,34,21,225,C,0,0,Good
2025-03-22,SKU0005,0,269,21,225,D,0,0,Good
2025-03-29,SKU0005,0,24,21,225,D,0,0,Good
2025-04-05,SKU0005,0,31,21,225,B,0,0,Good
2025-04-12,SKU0005,0,295,21,225,A,0,0,Good
2025-04-19,SKU0005,0,341,21,225,D,0,0,Good
2025-04-26,SKU0005,0,305,21,225,A,0,0,Manual Check
2025-05-03,SKU0005,0,384,21,225,A,0,0,Manual Check
2025-05-10,SKU0005,0,250,21,225,D,0,0,Good
2025-05-17,SKU0005,0,154,21,225,B,0,0,Manual Check
2025-05-24,SKU0005,4,25,21,225,B,0,0,Manual Check
2025-05-31,SKU0005,0,343,21,225,A,0,0,Good
2025-06-07,SKU0005,0,30,21,225,D,0,0,Good
2025-06-14,SKU0005,0,196,21,225,A,0,0,Good
2025-06-21,SKU0005,0,147,21,225,D,0,0,Good
2025-06-28,SKU0005,0,160,21,225,D,0,0,Good
2025-07-05,SKU0005,0,275,21,225,C,0,0,Good
2025-07-12,SKU0005,0,31,21,225,B,1,0,Good
2025-07-19,SKU0005,0,323,21,225,B,0,0,Good
2025-07-26,SKU0005,0,39,21,225,D,0,0,Good
2025-08-02,SKU0005,0,353,21,225,D,0,0,Good
2025-08-09,SKU0005,0,26,21,225,C,0,0,Good
2025-08-16,SKU0005,0,266,21,225,B,0,0,Good
2025-08-23,SKU0005,0,31,21,225,A,0,0,Manual Check
2025-08-30,SKU0005,0,18,21,225,A,0,0,Good
2025-09-06,SKU0005,0,169,21,225,D,0,0,Good
2025-09-13,SKU0005,0,311,21,225,C,0,0,Good
2025-09-20,SKU0005,0,32,21,225,B,0,0,Good
2025-09-27,SKU0005,0,261,21,225,A,0,0,Good
2025-10-04,SKU0005,0,25,21,225,B,0,0,Good
2025-10-11,SKU0005,0,29,21,225,C,0,0,Good
2025-10-18,SKU0005,0,240,21,225,B,0,0,Good
2025-10-25,SKU0005,0,141,21,225,D,0,0,Good
2025-11-01,SKU0005,0,37,21,225,A,0,0,Late Update
2025-11-08,SKU0005,0,28,21,225,C,0,0,Good
2025-11-15,SKU0005,0,286,21,225,D,0,0,Good
2025-11-22,SKU0005,0,254,21,225,C,0,0,Good
2025-11-29,SKU0005,0,205,21,225,B,0,0,Good
2025-12-06,SKU0005,0,29,21,225,A,0,0,Good
2025-12-13,SKU0005,0,22,21,225,C,0,0,Good
2025-12-20,SKU0005,0,30,21,225,A,0,0,Good
2025-12-27,SKU0005,0,187,21,225,A,0,0,Good
2024-06-01,SKU0006,209,13,12,64,D,0,10,Good
2024-06-08,SKU0006,216,6,12,64,B,2,8,Good
2024-06-15,SKU0006,224,19,12,64,B,1,4,Good
2024-06-22,SKU0006,231,6,12,64,A,3,9,Good
2024-06-29,SKU0006,241,13,12,64,C,3,4,Manual Check
2024-07-06,SKU0006,248,6,12,64,A,0,11,Good
2024-07-13,SKU0006,262,14,12,64,B,1,8,Good
2024-07-20,SKU0006,276,19,12,64,C,2,15,Good
2024-07-27,SKU0006,285,15,12,64,C,5,15,Good
2024-08-03,SKU0006,299,8,12,64,C,3,13,Good
2024-08-10,SKU0006,311,8,12,64,A,0,16,Good
2024-08-17,SKU0006,319,18,12,64,D,6,18,Good
2024-08-24,SKU0006,330,12,12,64,D,1,9,Good
2024-08-31,SKU0006,339,11,12,64,A,1,20,Good
2024-09-07,SKU0006,350,8,12,64,C,5,19,Good
2024-09-14,SKU0006,359,9,12,64,A,1,20,Manual Check
2024-09-21,SKU0006,366,13,12,64,D,2,13,Good
2024-09-28,SKU0006,376,12,12,64,C,3,20,Good
2024-10-05,SKU0006,349,10,12,64,B,3,18,Good
2024-10-12,SKU0006,334,12,12,64,D,4,16,Good
2024-10-19,SKU0006,321,13,12,64,A,2,10,Good
2024-10-26,SKU0006,316,11,12,64,C,3,13,Good
2024-11-02,SKU0006,291,17,12,64,B,3,20,Manual Check
2024-11-09,SKU0006,262,14,12,64,D,3,9,Good
2024-11-16,SKU0006,254,11,12,64,A,5,12,Good
2024-11-23,SKU0006,237,11,12,64,D,2,10,Good
2024-11-30,SKU0006,225,6,12,64,C,4,13,Good
2024-12-07,SKU0006,208,9,12,64,C,2,11,Good
2024-12-14,SKU0006,201,8,12,64,B,2,8,Good
2024-12-21,SKU0006,198,11,12,64,D,1,9,Good
2024-12-28,SKU0006,202,12,12,64,A,1,3,Good
2025-01-04,SKU0006,188,12,12,64,C,1,9,Good
2025-01-11,SKU0006,174,8,12,64,C,2,9,Good
2025-01-18,SKU0006,169,9,12,64,B,0,6,Good
2025-01-25,SKU0006,162,16,12,64,D,0,5,Late Update
2025-02-01,SKU0006,155,7,12,64,A,3,10,Good
2025-02-08,SKU0006,151,5,12,64,C,0,7,Good
2025-02-15,SKU0006,148,12,12,64,A,0,6,Good
2025-02-22,SKU0006,146,12,12,64,B,1,5,Good
2025-03-01,SKU0006,141,8,12,64,B,2,4,Good
2025-03-08,SKU0006,135,11,12,64,A,3,6,Good
